,mean_importances
1,1.9141771504659424
2,1.7623140725712827
3,0.19852666078385356
4,0.13250586437832604
5,1.0428466393015583
6,1.0876045719528376
7,0.6616566941526485
8,2.2883027737145847
9,1.3168922021351355
10,1.6905810660543144
